Weapon Type,Weapon ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,Area,Battalion,Temperature,Weather Conditions
Type B,G-576,2020-06-20,6823,95.24,39,2,None,Semi-Urban,West Battalion,37,Dry
Type C,G-883,2021-10-07,4437,72.64,50,2,None,Rural,East Battalion,35,Cloudy
Type B,G-973,2023-08-23,8109,87.84,27,2,Transmission,Rural,South Battalion,31,Humid
Type D,G-458,2018-11-07,7146,86.42,15,1,None,Urban,North Battalion,33,Sunny
Type D,G-506,2019-01-08,2984,81.35,35,6,Gun System,Rural,North-East Battalion,27,Rainy
Type C,G-967,2023-04-09,9203,93.69,25,1,None,Semi-Urban,West Battalion,31,Humid
Type E,G-478,2024-12-02,5323,74.0,32,3,Navigation System,Urban,North Battalion,34,Sunny
Type B,G-423,2019-05-26,870,66.64,42,3,Gun System,Urban,North Battalion,34,Sunny
Type D,G-452,2018-02-18,4488,92.74,26,1,Armor Plating,Rural,East Battalion,31,Cloudy
Type C,G-781,2015-12-17,8118,91.03,2,3,Brakes,Urban,South Battalion,35,Hot
Type B,G-234,2015-10-03,2794,74.39,31,7,None,Rural,North-East Battalion,28,Rainy
Type A,G-708,2021-01-21,3170,68.18,12,3,Wiring,Urban,East Battalion,32,Rainy
Type D,G-735,2022-01-23,4545,83.96,10,2,None,Semi-Urban,West Battalion,38,Dry
Type A,G-265,2016-10-05,5255,88.45,49,6,Wiring,Urban,North Battalion,33,Sunny
Type E,G-508,2017-02-01,9945,86.61,4,5,None,Rural,North-East Battalion,26,Rainy
Type C,G-968,2015-09-23,7753,81.67,27,7,Radar,Semi-Urban,West Battalion,34,Humid
Type D,G-920,2022-06-30,9805,91.0,49,2,None,Urban,East Battalion,31,Rainy
Type C,G-116,2019-11-13,6499,95.17,29,4,None,Urban,North Battalion,35,Sunny
Type C,G-454,2019-12-14,4300,93.66,42,4,None,Urban,North Battalion,37,Sunny
Type C,G-262,2025-02-20,1575,71.84,47,8,Wiring,Rural,South Battalion,29,Humid
Type E,G-536,2015-07-24,6446,97.87,37,1,Radar,Rural,East Battalion,31,Cloudy
Type A,G-638,2015-08-25,915,95.52,20,1,Navigation System,Urban,South Battalion,34,Hot
Type E,G-874,2020-09-18,464,76.62,48,2,Radar,Urban,North Battalion,36,Sunny
Type B,G-185,2015-07-03,3354,87.99,8,5,None,Rural,North Battalion,26,Cool
Type C,G-284,2016-08-04,996,99.75,1,5,Wiring,Rural,East Battalion,31,Cloudy
Type B,G-955,2023-10-02,4895,85.18,47,2,None,Semi-Urban,West Battalion,33,Humid
Type C,G-745,2016-12-25,6690,67.71,13,0,None,Urban,North Battalion,37,Sunny
Type B,G-328,2019-09-28,4780,63.43,37,9,Radar,Rural,East Battalion,33,Cloudy
Type C,G-532,2015-03-14,8689,73.28,18,4,Navigation System,Urban,East Battalion,29,Rainy
Type E,G-692,2023-12-24,6513,86.64,34,7,Gun System,Rural,South Battalion,33,Humid
Type E,G-723,2020-01-11,2960,76.88,1,3,None,Semi-Urban,West Battalion,33,Humid
Type B,G-528,2022-12-30,9068,79.06,50,8,Wiring,Rural,East Battalion,32,Cloudy
Type B,G-633,2021-09-12,1649,62.89,31,3,Radar,Rural,North Battalion,28,Cool
Type B,G-422,2017-08-24,2829,80.92,19,3,Brakes,Rural,East Battalion,32,Cloudy
Type D,G-449,2020-04-01,6724,96.49,8,8,None,Urban,West Battalion,38,Hot
Type E,G-601,2018-12-08,4368,66.06,28,3,None,Semi-Urban,West Battalion,40,Dry
Type E,G-694,2018-10-17,7987,64.93,6,5,None,Semi-Urban,West Battalion,33,Humid
Type A,G-205,2018-07-07,3456,77.15,30,5,Armor Plating,Urban,West Battalion,36,Hot
Type C,G-957,2018-12-03,5173,64.34,22,7,Brakes,Rural,North-East Battalion,29,Rainy
Type D,G-742,2021-10-18,4340,79.23,37,8,None,Rural,North Battalion,27,Cool
Type C,G-277,2021-10-22,3836,78.16,40,2,None,Semi-Urban,West Battalion,36,Dry
Type D,G-805,2016-07-10,1930,62.67,48,6,Transmission,Urban,West Battalion,37,Hot
Type B,G-697,2024-01-25,3966,99.73,42,7,Brakes,Urban,North Battalion,36,Sunny
Type C,G-278,2018-10-24,9851,99.96,39,3,None,Urban,East Battalion,30,Rainy
Type A,G-326,2023-08-10,4491,82.98,18,2,None,Rural,South Battalion,32,Humid
Type E,G-719,2021-02-24,8881,80.5,25,1,None,Rural,East Battalion,35,Cloudy
Type A,G-778,2015-03-27,3090,71.55,17,2,Wiring,Urban,North Battalion,36,Sunny
Type C,G-478,2022-12-11,6115,89.49,31,1,Armor Plating,Urban,East Battalion,32,Rainy
Type A,G-364,2018-10-10,8601,92.33,31,3,Sensors,Urban,East Battalion,28,Rainy
Type D,G-990,2019-10-03,9971,72.6,21,3,Gun System,Semi-Urban,West Battalion,33,Humid
Type A,G-117,2022-09-06,8260,98.26,42,9,Gun System,Urban,West Battalion,37,Hot
Type D,G-508,2019-09-17,326,93.41,2,3,Radar,Urban,East Battalion,32,Rainy
Type B,G-455,2016-12-05,4960,69.21,41,6,None,Semi-Urban,West Battalion,38,Dry
Type C,G-417,2017-06-08,1463,98.82,19,6,Wiring,Urban,West Battalion,34,Hot
Type C,G-185,2021-08-24,1185,65.93,44,2,Navigation System,Urban,West Battalion,35,Hot
Type C,G-815,2019-11-08,6930,61.32,44,1,Wiring,Urban,West Battalion,36,Hot
Type B,G-773,2023-05-25,6493,61.5,48,3,Wiring,Rural,North-East Battalion,25,Rainy
Type E,G-912,2017-01-11,6828,88.0,27,2,Brakes,Urban,North Battalion,34,Sunny
Type E,G-348,2022-04-18,5529,65.42,12,1,None,Rural,East Battalion,34,Cloudy
Type E,G-432,2015-10-07,7350,67.92,41,4,None,Rural,North-East Battalion,29,Rainy
Type A,G-255,2020-09-22,7056,97.49,37,3,Engine,Urban,North Battalion,33,Sunny
Type B,G-825,2025-01-03,569,99.46,25,1,Brakes,Urban,West Battalion,35,Hot
Type B,G-302,2015-11-01,2090,80.32,50,0,None,Semi-Urban,West Battalion,30,Humid
Type A,G-954,2017-04-22,8302,74.24,19,6,None,Rural,East Battalion,33,Cloudy
Type A,G-141,2023-02-13,7226,91.36,9,2,None,Rural,South Battalion,29,Humid
Type D,G-461,2024-09-04,9641,98.07,38,9,None,Urban,South Battalion,35,Hot
Type E,G-372,2018-10-22,7567,80.8,34,4,None,Rural,East Battalion,32,Cloudy
Type C,G-619,2015-06-24,1479,98.78,12,4,None,Urban,East Battalion,30,Rainy
Type C,G-258,2022-05-29,4801,90.65,26,2,Transmission,Urban,South Battalion,32,Hot
Type A,G-504,2018-05-13,6435,94.07,18,8,Navigation System,Urban,North Battalion,33,Sunny
Type C,G-574,2018-05-19,3027,90.78,3,2,None,Rural,South Battalion,31,Humid
Type E,G-618,2020-11-01,7188,70.73,17,8,Armor Plating,Rural,South Battalion,31,Humid
Type A,G-270,2023-05-31,1425,73.99,25,9,None,Rural,South Battalion,29,Humid
Type B,G-447,2015-04-12,7125,99.74,43,3,None,Semi-Urban,West Battalion,40,Dry
Type D,G-122,2022-08-12,7690,81.12,10,6,None,Rural,North-East Battalion,26,Rainy
Type C,G-761,2021-12-01,4744,83.46,28,8,None,Urban,West Battalion,37,Hot
Type C,G-216,2019-08-16,4790,94.86,1,0,Engine,Semi-Urban,West Battalion,38,Dry
Type B,G-927,2024-09-02,1630,60.51,44,1,Gun System,Urban,East Battalion,29,Rainy
Type D,G-285,2015-03-29,6763,90.89,33,4,None,Urban,North Battalion,33,Sunny
Type B,G-176,2017-02-28,3490,90.84,7,4,Gun System,Semi-Urban,West Battalion,34,Humid
Type A,G-744,2017-10-31,5006,64.9,30,7,None,Rural,North Battalion,26,Cool
Type C,G-961,2024-11-11,1807,97.62,17,4,None,Urban,South Battalion,33,Hot
Type C,G-243,2024-08-20,7755,82.92,8,1,Transmission,Urban,West Battalion,36,Hot
Type A,G-985,2015-06-24,2512,63.48,23,7,None,Rural,East Battalion,35,Cloudy
Type E,G-990,2020-12-09,9185,98.74,20,2,Gun System,Rural,North-East Battalion,28,Rainy
Type E,G-619,2016-03-26,6468,61.05,23,5,None,Rural,North-East Battalion,26,Rainy
Type E,G-450,2025-01-28,2028,76.17,40,2,Wiring,Semi-Urban,West Battalion,39,Dry
Type B,G-209,2018-08-29,5156,65.76,18,3,None,Semi-Urban,West Battalion,39,Dry
Type E,G-990,2020-12-09,4859,61.59,19,5,None,Semi-Urban,West Battalion,31,Humid
Type D,G-138,2015-10-13,4359,93.81,26,4,None,Urban,North Battalion,36,Sunny
Type C,G-790,2019-09-21,1427,82.2,20,1,None,Urban,West Battalion,34,Hot
Type A,G-753,2024-10-28,8404,98.69,50,8,Engine,Semi-Urban,West Battalion,39,Dry
Type E,G-716,2016-07-17,8604,94.88,14,8,Engine,Semi-Urban,West Battalion,40,Dry
Type D,G-363,2024-11-02,9805,98.39,44,9,None,Rural,East Battalion,31,Cloudy
Type E,G-517,2020-02-13,2650,85.89,34,4,Armor Plating,Rural,North-East Battalion,27,Rainy
Type A,G-749,2024-03-21,3938,86.83,22,2,Transmission,Urban,South Battalion,32,Hot
Type C,G-420,2016-06-21,8932,68.3,37,9,None,Urban,East Battalion,30,Rainy
Type D,G-408,2017-02-06,4779,98.42,48,2,Wiring,Rural,South Battalion,30,Humid
Type B,G-246,2022-01-06,9565,92.47,0,8,None,Rural,South Battalion,30,Humid
Type C,G-373,2022-03-21,7398,62.21,31,3,Gun System,Urban,North Battalion,34,Sunny
Type D,G-478,2022-07-27,8469,80.24,48,7,Engine,Rural,North Battalion,29,Cool
Type B,G-684,2022-10-05,9660,84.22,9,0,Wiring,Rural,South Battalion,30,Humid
Type C,G-481,2015-05-08,7628,81.83,17,3,Navigation System,Semi-Urban,West Battalion,33,Humid
Type E,G-193,2023-03-22,7435,82.03,4,4,Brakes,Rural,East Battalion,35,Cloudy
Type B,G-658,2015-07-06,4472,65.65,5,0,Transmission,Urban,South Battalion,35,Hot
Type C,G-594,2020-10-07,4854,83.96,15,10,Transmission,Urban,East Battalion,28,Rainy
Type B,G-632,2023-07-25,4066,82.07,24,4,None,Urban,South Battalion,35,Hot
Type A,G-405,2020-04-06,2073,77.05,46,1,Sensors,Semi-Urban,West Battalion,39,Dry
Type B,G-344,2019-11-10,2116,99.15,32,3,Armor Plating,Rural,South Battalion,31,Humid
Type C,G-614,2019-09-05,4679,61.3,4,8,None,Rural,South Battalion,29,Humid
Type C,G-843,2025-01-01,2808,76.34,21,2,None,Semi-Urban,West Battalion,39,Dry
Type C,G-438,2020-06-29,5391,91.07,20,2,Sensors,Rural,North-East Battalion,25,Rainy
Type E,G-500,2019-12-05,8517,81.57,34,3,None,Urban,North Battalion,34,Sunny
Type D,G-531,2021-08-25,9025,76.15,20,8,None,Semi-Urban,West Battalion,40,Dry
Type C,G-343,2019-02-18,9956,80.7,30,2,Brakes,Urban,East Battalion,30,Rainy
Type E,G-774,2015-04-24,8829,69.68,42,4,Armor Plating,Rural,East Battalion,32,Cloudy
Type E,G-168,2017-02-23,2742,79.5,49,2,Transmission,Urban,South Battalion,32,Hot
Type B,G-138,2020-03-21,9133,85.92,25,1,Armor Plating,Semi-Urban,West Battalion,39,Dry
Type C,G-298,2022-08-13,8828,78.72,19,1,Wiring,Urban,South Battalion,35,Hot
Type A,G-881,2016-09-05,9580,93.32,24,1,Gun System,Urban,North Battalion,33,Sunny
Type D,G-130,2019-06-04,1903,99.64,15,2,Sensors,Semi-Urban,West Battalion,32,Humid
Type A,G-334,2020-01-02,9682,92.43,50,4,None,Semi-Urban,West Battalion,39,Dry
Type E,G-103,2018-07-24,4069,87.39,50,4,None,Urban,East Battalion,30,Rainy
Type E,G-868,2022-07-10,6283,71.72,37,3,Engine,Urban,East Battalion,30,Rainy
Type C,G-772,2016-05-19,4258,67.23,18,4,Wiring,Urban,West Battalion,36,Hot
Type D,G-944,2025-01-28,6502,93.12,49,6,None,Rural,North Battalion,26,Cool
Type E,G-278,2019-03-12,8564,95.02,45,0,None,Rural,North-East Battalion,25,Rainy
Type D,G-903,2018-03-12,8319,69.56,18,2,None,Urban,East Battalion,29,Rainy
Type A,G-641,2015-11-08,964,87.33,4,5,Gun System,Rural,East Battalion,34,Cloudy
Type E,G-690,2018-10-29,1089,65.58,16,3,Gun System,Rural,East Battalion,31,Cloudy
Type D,G-779,2015-04-17,7233,60.57,47,0,None,Semi-Urban,West Battalion,33,Humid
Type A,G-982,2020-06-15,4883,84.33,49,3,Navigation System,Rural,South Battalion,31,Humid
Type A,G-946,2021-09-07,3145,97.85,4,3,Wiring,Rural,East Battalion,34,Cloudy
Type D,G-128,2020-10-24,5221,64.08,5,3,Wiring,Rural,East Battalion,35,Cloudy
Type E,G-114,2020-05-06,9615,86.82,14,2,Sensors,Rural,North Battalion,26,Cool
Type C,G-554,2022-12-19,6119,60.37,32,5,Radar,Rural,South Battalion,31,Humid
Type D,G-305,2022-08-15,3264,62.05,27,7,Engine,Urban,North Battalion,35,Sunny
Type E,G-492,2022-07-10,9628,78.65,14,8,None,Semi-Urban,West Battalion,32,Humid
Type D,G-673,2018-07-15,7157,63.03,41,1,Gun System,Urban,South Battalion,36,Hot
Type A,G-410,2016-11-13,6931,84.06,14,4,None,Urban,South Battalion,35,Hot
Type A,G-935,2019-01-03,4425,61.8,12,0,None,Urban,East Battalion,28,Rainy
Type B,G-369,2021-07-06,8725,89.93,1,3,None,Rural,East Battalion,32,Cloudy
Type E,G-948,2018-09-15,7713,92.35,44,5,None,Urban,East Battalion,29,Rainy
Type A,G-808,2023-09-24,5344,69.7,40,3,None,Rural,North-East Battalion,27,Rainy
Type A,G-524,2022-06-08,1409,76.32,24,4,None,Rural,East Battalion,34,Cloudy
Type E,G-293,2017-02-26,1592,71.23,42,7,Navigation System,Rural,North Battalion,26,Cool
Type A,G-266,2020-07-16,1186,76.52,26,4,None,Urban,South Battalion,34,Hot
Type B,G-683,2016-03-12,3392,88.86,10,6,None,Rural,East Battalion,34,Cloudy
Type C,G-639,2015-07-13,1669,84.33,0,2,Radar,Urban,North Battalion,35,Sunny
Type E,G-452,2021-02-25,9623,65.06,36,3,None,Urban,South Battalion,32,Hot
Type B,G-577,2018-03-03,322,63.06,23,5,Navigation System,Rural,North-East Battalion,29,Rainy
Type C,G-104,2018-06-03,5933,64.4,47,5,None,Rural,South Battalion,29,Humid
Type C,G-236,2024-04-01,8392,84.61,46,5,Engine,Rural,East Battalion,35,Cloudy
Type B,G-432,2024-06-26,9186,76.61,39,4,None,Semi-Urban,West Battalion,32,Humid
Type A,G-743,2017-04-05,7995,86.81,21,1,Armor Plating,Urban,North Battalion,36,Sunny
Type D,G-687,2022-01-15,3418,68.69,40,4,None,Urban,West Battalion,38,Hot
Type A,G-963,2024-04-02,8777,64.67,23,2,None,Rural,East Battalion,32,Cloudy
Type C,G-971,2018-02-20,650,93.53,48,2,Armor Plating,Urban,North Battalion,33,Sunny
Type D,G-340,2019-08-23,9402,95.31,0,5,Navigation System,Urban,North Battalion,36,Sunny
Type B,G-563,2023-02-07,4431,66.49,37,6,None,Urban,East Battalion,28,Rainy
Type B,G-560,2017-11-16,9851,86.13,28,8,None,Rural,North-East Battalion,28,Rainy
Type E,G-323,2022-10-18,9847,99.26,1,4,Radar,Rural,East Battalion,31,Cloudy
Type A,G-934,2018-07-26,4985,85.29,7,0,None,Urban,East Battalion,29,Rainy
Type C,G-809,2020-12-10,3629,64.27,20,6,Gun System,Urban,South Battalion,32,Hot
Type D,G-442,2018-04-15,9550,66.89,15,4,None,Urban,East Battalion,31,Rainy
Type E,G-472,2018-10-06,7215,98.21,49,6,Brakes,Rural,East Battalion,35,Cloudy
Type B,G-102,2022-07-20,9627,87.06,17,5,None,Rural,South Battalion,32,Humid
Type A,G-764,2022-08-28,2046,79.04,27,3,Gun System,Urban,West Battalion,36,Hot
Type A,G-308,2017-11-12,4051,65.71,0,6,Navigation System,Urban,South Battalion,34,Hot
Type E,G-147,2023-02-10,9696,92.29,16,7,Navigation System,Semi-Urban,West Battalion,34,Humid
Type C,G-389,2015-11-24,5900,62.27,21,7,None,Rural,South Battalion,29,Humid
Type A,G-733,2020-01-07,2579,61.87,14,1,Transmission,Rural,South Battalion,29,Humid
Type C,G-439,2019-01-18,8835,72.95,41,3,None,Urban,South Battalion,35,Hot
Type D,G-769,2015-05-11,1696,99.08,42,4,None,Rural,North-East Battalion,28,Rainy
Type C,G-843,2022-05-25,7286,72.56,40,7,None,Semi-Urban,West Battalion,32,Humid
Type C,G-413,2018-01-22,7192,61.26,33,3,Radar,Urban,East Battalion,32,Rainy
Type B,G-854,2017-12-19,3768,81.44,44,5,None,Rural,East Battalion,33,Cloudy
Type A,G-384,2019-06-28,7771,90.57,17,6,Navigation System,Urban,West Battalion,38,Hot
Type A,G-575,2016-06-17,4872,75.58,10,3,None,Urban,East Battalion,32,Rainy
Type D,G-922,2018-11-11,4948,73.05,23,2,Engine,Rural,North Battalion,26,Cool
Type D,G-948,2024-01-30,9898,80.48,32,4,None,Rural,North-East Battalion,25,Rainy
Type B,G-373,2021-05-15,1149,64.82,11,5,None,Urban,West Battalion,34,Hot
Type B,G-768,2024-06-05,8134,79.13,17,2,None,Semi-Urban,West Battalion,33,Humid
Type C,G-358,2016-06-17,5990,82.71,41,9,None,Semi-Urban,West Battalion,38,Dry
Type C,G-490,2021-11-06,8817,62.96,31,8,None,Rural,North-East Battalion,26,Rainy
Type D,G-616,2021-09-16,4047,61.74,37,7,None,Rural,South Battalion,33,Humid
Type C,G-777,2024-09-19,1492,75.39,26,4,None,Semi-Urban,West Battalion,33,Humid
Type C,G-562,2020-01-13,9700,99.09,1,4,None,Rural,South Battalion,31,Humid
Type D,G-885,2023-01-04,3376,89.4,21,5,Armor Plating,Semi-Urban,West Battalion,33,Humid
Type B,G-696,2021-12-21,1851,62.32,42,6,Gun System,Semi-Urban,West Battalion,40,Dry
Type E,G-145,2015-05-29,5573,76.48,24,5,Navigation System,Urban,West Battalion,35,Hot
Type A,G-725,2020-11-16,6870,86.39,4,8,None,Rural,North-East Battalion,29,Rainy
Type B,G-119,2023-04-20,7150,89.45,41,7,Wiring,Rural,South Battalion,30,Humid
Type D,G-816,2019-10-14,8502,91.26,9,10,Gun System,Rural,South Battalion,31,Humid
Type A,G-259,2016-07-20,7938,95.86,45,6,None,Semi-Urban,West Battalion,33,Humid
Type D,G-774,2024-07-27,4646,62.29,40,0,Navigation System,Rural,North Battalion,27,Cool
Type A,G-671,2016-01-14,6872,89.68,28,2,None,Semi-Urban,West Battalion,37,Dry
Type D,G-121,2024-04-23,3321,98.37,46,0,None,Rural,South Battalion,32,Humid
Type D,G-935,2022-05-04,5188,78.25,9,1,None,Semi-Urban,West Battalion,40,Dry
Type B,G-356,2020-01-31,2606,97.88,28,4,Engine,Urban,South Battalion,34,Hot
Type E,G-399,2019-01-12,7166,73.68,50,6,Sensors,Rural,South Battalion,30,Humid
Type B,G-371,2020-07-29,2026,72.08,11,10,Brakes,Rural,North-East Battalion,26,Rainy
Type E,G-600,2016-03-12,7956,83.89,12,6,None,Rural,North Battalion,29,Cool
Type C,G-315,2020-12-17,1127,85.34,37,6,None,Rural,South Battalion,30,Humid
Type D,G-978,2022-12-12,2113,91.73,22,8,None,Rural,North Battalion,26,Cool
Type D,G-966,2020-12-16,3978,61.16,19,7,None,Semi-Urban,West Battalion,30,Humid
Type E,G-399,2017-11-13,561,75.81,17,0,Navigation System,Semi-Urban,West Battalion,38,Dry
Type B,G-481,2022-08-11,7470,78.29,50,2,None,Rural,East Battalion,35,Cloudy
Type E,G-134,2022-10-29,8648,94.78,46,4,Radar,Semi-Urban,West Battalion,38,Dry
Type A,G-128,2022-04-01,2488,95.64,37,2,None,Semi-Urban,West Battalion,36,Dry
Type E,G-703,2016-07-04,1647,98.92,20,2,Brakes,Rural,East Battalion,35,Cloudy
Type A,G-467,2016-02-20,4451,68.24,12,3,None,Rural,North-East Battalion,26,Rainy
Type A,G-911,2016-11-07,4602,65.63,36,4,None,Rural,South Battalion,32,Humid
Type D,G-131,2017-04-27,4725,60.98,8,3,Sensors,Urban,East Battalion,31,Rainy
Type D,G-658,2022-03-26,4297,96.47,23,0,Brakes,Rural,East Battalion,34,Cloudy
Type E,G-154,2020-09-06,2895,77.65,44,3,None,Semi-Urban,West Battalion,31,Humid
Type D,G-869,2023-02-02,3943,83.86,28,7,None,Rural,East Battalion,35,Cloudy
Type D,G-141,2020-01-01,4334,84.99,11,5,Sensors,Urban,South Battalion,34,Hot
Type E,G-788,2018-06-26,2116,66.82,33,9,Navigation System,Urban,South Battalion,34,Hot
Type E,G-241,2019-06-02,8354,81.02,13,5,None,Rural,East Battalion,32,Cloudy
Type E,G-351,2018-11-10,8063,97.09,20,1,None,Urban,South Battalion,34,Hot
Type D,G-922,2024-05-22,9850,85.84,12,1,None,Rural,North-East Battalion,27,Rainy
Type C,G-231,2020-01-11,6683,68.7,12,4,None,Semi-Urban,West Battalion,32,Humid
Type C,G-151,2024-06-30,9671,90.12,32,3,None,Urban,South Battalion,36,Hot
Type B,G-771,2023-01-05,7368,62.21,29,9,None,Rural,East Battalion,34,Cloudy
Type A,G-367,2022-05-14,7721,60.13,1,8,None,Urban,West Battalion,35,Hot
Type B,G-953,2023-09-13,6516,87.8,49,4,None,Semi-Urban,West Battalion,33,Humid
Type B,G-234,2018-02-11,7238,69.16,41,4,None,Urban,West Battalion,35,Hot
Type E,G-557,2022-10-26,3180,76.33,28,5,Gun System,Semi-Urban,West Battalion,31,Humid
Type A,G-184,2024-01-14,8227,79.31,17,1,None,Semi-Urban,West Battalion,38,Dry
Type B,G-250,2023-10-17,1489,80.57,17,3,Armor Plating,Semi-Urban,West Battalion,31,Humid
Type C,G-759,2022-08-08,4360,98.1,14,6,None,Semi-Urban,West Battalion,40,Dry
Type C,G-231,2016-01-12,3754,86.4,15,8,None,Urban,North Battalion,34,Sunny
Type D,G-660,2019-01-19,9723,88.89,30,1,Gun System,Semi-Urban,West Battalion,40,Dry
Type D,G-647,2015-03-21,251,99.48,34,3,Navigation System,Rural,East Battalion,35,Cloudy
Type B,G-678,2020-01-05,8180,70.07,47,9,Navigation System,Rural,North Battalion,28,Cool
Type D,G-395,2023-02-12,3060,70.88,28,4,None,Urban,West Battalion,38,Hot
Type C,G-774,2024-06-02,8844,76.18,3,4,None,Urban,West Battalion,38,Hot
Type D,G-456,2019-01-10,6463,96.21,33,3,Radar,Rural,North-East Battalion,29,Rainy
Type D,G-272,2018-05-24,9834,64.42,17,2,None,Urban,North Battalion,33,Sunny
Type A,G-413,2015-12-02,2929,93.06,49,4,Gun System,Rural,East Battalion,32,Cloudy
Type E,G-169,2023-03-16,6331,78.54,47,4,None,Semi-Urban,West Battalion,38,Dry
Type B,G-272,2018-10-05,4656,79.88,8,8,None,Semi-Urban,West Battalion,38,Dry
Type A,G-836,2019-12-16,5259,95.18,11,4,Armor Plating,Rural,East Battalion,33,Cloudy
Type C,G-719,2020-05-02,2871,94.57,2,4,None,Semi-Urban,West Battalion,34,Humid
Type C,G-570,2016-08-24,7750,75.83,26,4,None,Rural,South Battalion,33,Humid
Type E,G-754,2020-11-08,9173,67.99,26,6,Sensors,Rural,North Battalion,29,Cool
Type D,G-185,2015-11-11,185,81.78,19,1,None,Urban,West Battalion,37,Hot
Type D,G-566,2019-05-27,5624,84.53,26,3,None,Semi-Urban,West Battalion,30,Humid
Type B,G-583,2015-12-19,4145,87.85,36,3,Wiring,Rural,East Battalion,31,Cloudy
Type E,G-200,2023-05-14,7025,84.18,9,4,None,Rural,North-East Battalion,29,Rainy
Type D,G-928,2021-11-07,207,83.4,32,4,None,Rural,North-East Battalion,25,Rainy
Type D,G-399,2021-01-28,968,85.33,8,2,Transmission,Urban,North Battalion,36,Sunny
Type A,G-836,2017-05-25,9735,65.7,46,8,Radar,Urban,South Battalion,34,Hot
Type D,G-177,2016-11-03,1331,96.02,15,8,Transmission,Urban,South Battalion,33,Hot
Type E,G-781,2023-07-11,4100,89.27,50,1,Engine,Semi-Urban,West Battalion,38,Dry
Type C,G-316,2024-06-26,4967,72.68,4,4,None,Rural,South Battalion,33,Humid
Type A,G-416,2020-12-07,3552,68.86,40,0,Radar,Urban,South Battalion,34,Hot
Type E,G-984,2016-11-20,1304,84.55,19,4,None,Rural,East Battalion,35,Cloudy
Type B,G-164,2024-06-21,6221,84.01,28,6,Wiring,Rural,South Battalion,30,Humid
Type C,G-451,2020-02-13,5235,73.81,41,6,Brakes,Urban,West Battalion,37,Hot
Type A,G-932,2021-12-07,2176,65.09,26,5,Sensors,Rural,North Battalion,26,Cool
Type E,G-356,2017-09-03,949,97.61,39,5,None,Urban,West Battalion,37,Hot
Type B,G-710,2022-10-11,5661,99.78,46,3,None,Rural,North Battalion,27,Cool
Type B,G-253,2015-11-02,9926,74.45,14,10,None,Rural,North Battalion,29,Cool
Type C,G-842,2022-07-23,1037,81.71,16,0,Armor Plating,Semi-Urban,West Battalion,33,Humid
Type A,G-397,2023-02-08,804,83.0,40,3,Sensors,Rural,South Battalion,30,Humid
Type D,G-362,2024-09-23,9830,72.64,14,2,Navigation System,Rural,South Battalion,33,Humid
Type A,G-472,2016-05-19,5725,66.24,39,4,None,Rural,North-East Battalion,29,Rainy
Type C,G-186,2017-09-09,472,96.12,49,0,None,Urban,West Battalion,34,Hot
Type C,G-390,2017-11-27,756,94.13,16,6,Radar,Urban,South Battalion,36,Hot
Type B,G-236,2018-01-26,2481,71.92,11,9,Armor Plating,Urban,South Battalion,36,Hot
Type D,G-767,2022-08-16,6221,61.39,22,7,None,Urban,East Battalion,31,Rainy
Type B,G-393,2017-09-02,5698,90.08,24,3,Radar,Urban,North Battalion,35,Sunny
Type B,G-460,2022-05-28,890,77.76,45,7,Radar,Rural,South Battalion,33,Humid
Type D,G-847,2018-09-20,103,73.75,47,5,Navigation System,Urban,South Battalion,32,Hot
Type A,G-571,2015-07-20,4738,75.96,21,2,Transmission,Semi-Urban,West Battalion,30,Humid
Type D,G-272,2020-01-14,5501,83.98,44,5,Armor Plating,Urban,South Battalion,32,Hot
Type A,G-446,2017-07-17,4029,72.79,44,2,Engine,Rural,North Battalion,29,Cool
Type A,G-600,2023-10-28,5200,78.64,28,8,Wiring,Rural,North-East Battalion,25,Rainy
Type A,G-712,2021-04-27,1054,64.81,46,2,None,Urban,West Battalion,37,Hot
Type A,G-402,2022-08-05,3953,87.37,21,5,None,Rural,East Battalion,32,Cloudy
Type A,G-161,2015-04-07,1829,93.5,0,4,None,Urban,East Battalion,32,Rainy
Type E,G-448,2024-03-08,3049,89.47,20,2,None,Urban,East Battalion,31,Rainy
Type D,G-509,2022-05-07,2617,92.11,42,6,None,Urban,East Battalion,32,Rainy
Type D,G-236,2015-07-04,6394,98.1,38,3,None,Semi-Urban,West Battalion,36,Dry
Type E,G-397,2018-03-29,1418,97.55,41,2,Wiring,Urban,North Battalion,36,Sunny
Type D,G-705,2021-03-03,1083,64.6,13,6,Brakes,Semi-Urban,West Battalion,32,Humid
Type D,G-485,2023-02-05,6087,62.31,37,1,None,Urban,East Battalion,32,Rainy
Type D,G-544,2023-03-18,8147,98.46,26,6,None,Rural,North Battalion,28,Cool
Type A,G-871,2015-05-08,3375,63.5,25,2,Wiring,Urban,South Battalion,36,Hot
Type B,G-281,2019-09-08,4493,64.52,7,4,None,Semi-Urban,West Battalion,33,Humid
Type E,G-380,2015-12-05,4733,75.26,26,5,None,Urban,South Battalion,33,Hot
Type A,G-319,2018-11-30,6235,61.77,0,5,None,Rural,North-East Battalion,28,Rainy
Type D,G-845,2022-12-13,4997,96.78,11,0,Transmission,Urban,East Battalion,31,Rainy
