Aircraft Type,Aircraft ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,State,Area,Battalion,Temperature,Weather
Type A,A-841,2019-06-09,6716,93.45,42,6,,Delhi,West Zone,Charlie Battalion,35.2,Sunny
Type D,A-446,2019-02-22,4672,86.23,27,1,,Rajasthan,North Zone,Bravo Battalion,20.8,Sunny
Type B,A-192,2018-10-07,9521,87.6,13,1,,Delhi,South Zone,Alpha Battalion,26.3,Sunny
Type A,A-969,2017-07-28,6684,85.24,15,6,,Gujarat,West Zone,Delta Squadron,18.1,Stormy
Type D,A-385,2018-05-20,7766,89.6,22,6,Sensors,Rajasthan,South Zone,Echo Force,43.6,Sunny
Type E,A-348,2018-12-23,7779,63.73,5,6,Wiring,Gujarat,North Zone,Charlie Battalion,22.9,Foggy
Type B,A-116,2024-08-10,2778,91.35,18,2,Radar,Maharashtra,South Zone,Echo Force,24.2,Rainy
Type A,A-224,2018-07-29,4806,77.31,4,4,,Delhi,West Zone,Delta Squadron,29.6,Windy
Type B,A-182,2023-07-25,279,73.03,37,2,,Gujarat,North Zone,Bravo Battalion,14.2,Foggy
Type C,A-846,2020-06-01,8498,98.02,18,1,,Maharashtra,West Zone,Charlie Battalion,25.6,Windy
Type D,A-321,2018-02-23,1270,99.75,5,3,,Kerala,South Zone,Alpha Battalion,23.1,Windy
Type D,A-411,2020-02-13,9351,90.11,10,5,Navigation System,Maharashtra,North Zone,Bravo Battalion,11.9,Rainy
Type C,A-846,2018-03-25,8964,64.94,7,0,,Rajasthan,Central Command,Charlie Battalion,20.9,Foggy
Type B,A-671,2021-06-05,9131,66.61,13,4,Sensors,Delhi,Central Command,Bravo Battalion,12.1,Stormy
Type E,A-983,2017-01-19,4595,61.86,16,9,Wiring,Uttar Pradesh,East Zone,Echo Force,27.0,Sunny
Type A,A-588,2019-07-07,1721,60.07,1,3,,Maharashtra,East Zone,Alpha Battalion,42.5,Rainy
Type E,A-571,2024-07-23,979,94.64,43,5,,Assam,East Zone,Delta Squadron,12.1,Rainy
Type B,A-869,2020-04-17,2077,91.44,41,5,Armor Plating,Kerala,South Zone,Alpha Battalion,34.6,Stormy
Type C,A-129,2018-03-05,7561,74.6,49,2,,Uttar Pradesh,Central Command,Charlie Battalion,15.5,Foggy
Type B,A-369,2024-11-07,5630,95.9,27,5,,Maharashtra,West Zone,Alpha Battalion,42.7,Foggy
Type E,A-386,2016-06-21,5498,97.56,46,3,,Uttar Pradesh,West Zone,Alpha Battalion,42.3,Windy
Type D,A-972,2016-05-02,8863,64.46,43,3,Wiring,Maharashtra,North Zone,Delta Squadron,24.6,Windy
Type A,A-260,2017-11-16,1417,72.0,31,2,Gun System,Rajasthan,West Zone,Echo Force,32.2,Stormy
Type C,A-354,2022-04-02,5514,74.23,15,3,Brakes,Delhi,Central Command,Bravo Battalion,29.5,Rainy
Type E,A-374,2022-05-06,6437,75.98,34,8,Wiring,Delhi,Central Command,Echo Force,37.6,Rainy
Type E,A-419,2022-06-23,205,85.28,43,2,,Maharashtra,West Zone,Charlie Battalion,26.8,Cloudy
Type B,A-372,2022-05-15,4979,95.32,10,3,,Tamil Nadu,East Zone,Echo Force,13.9,Windy
Type E,A-975,2019-07-23,6846,91.33,33,3,Radar,Maharashtra,East Zone,Charlie Battalion,30.4,Stormy
Type E,A-135,2021-01-06,8780,73.81,24,9,Brakes,Tamil Nadu,West Zone,Echo Force,24.7,Stormy
Type E,A-468,2023-10-21,1023,78.08,31,3,,Rajasthan,Central Command,Bravo Battalion,34.2,Sunny
Type A,A-937,2021-03-08,1476,70.41,35,4,,Assam,South Zone,Delta Squadron,30.5,Rainy
Type B,A-324,2016-04-01,1787,99.79,48,3,Gun System,Tamil Nadu,North Zone,Delta Squadron,15.3,Sunny
Type B,A-155,2017-01-13,2279,60.51,11,3,Navigation System,Maharashtra,Central Command,Bravo Battalion,24.9,Foggy
Type A,A-417,2025-01-27,4440,84.73,4,5,,Kerala,West Zone,Bravo Battalion,35.4,Cloudy
Type C,A-410,2023-11-30,3127,70.44,38,7,,Kerala,West Zone,Charlie Battalion,31.1,Foggy
Type B,A-831,2017-10-17,7318,79.1,31,6,,Rajasthan,West Zone,Charlie Battalion,32.3,Windy
Type E,A-281,2016-09-22,2527,79.13,35,6,Wiring,Gujarat,North Zone,Alpha Battalion,17.8,Sunny
Type C,A-109,2019-03-10,8658,91.63,30,6,,Tamil Nadu,Central Command,Bravo Battalion,36.7,Stormy
Type A,A-205,2016-12-11,4690,81.74,13,4,,West Bengal,West Zone,Bravo Battalion,21.5,Stormy
Type B,A-198,2015-06-14,2848,99.43,6,6,Navigation System,Delhi,South Zone,Delta Squadron,24.6,Rainy
Type B,A-285,2015-04-22,6123,84.82,46,5,Wiring,Gujarat,West Zone,Echo Force,19.1,Foggy
Type E,A-104,2015-10-13,4904,65.14,41,1,Wiring,Kerala,South Zone,Delta Squadron,22.1,Stormy
Type A,A-667,2020-08-14,8873,67.95,30,3,,Tamil Nadu,Central Command,Charlie Battalion,12.4,Rainy
Type D,A-643,2018-12-17,4826,75.33,1,2,,West Bengal,West Zone,Bravo Battalion,41.7,Rainy
Type E,A-871,2015-08-07,4379,64.35,36,3,Brakes,Kerala,West Zone,Charlie Battalion,43.1,Foggy
Type C,A-217,2018-09-08,1272,93.14,34,1,Wiring,Punjab,West Zone,Delta Squadron,16.6,Cloudy
Type A,A-341,2019-12-28,1374,65.34,30,6,Gun System,Punjab,Central Command,Bravo Battalion,27.8,Cloudy
Type E,A-488,2019-03-28,2796,78.21,21,7,Transmission,Uttar Pradesh,West Zone,Bravo Battalion,38.5,Cloudy
Type C,A-357,2020-03-21,5668,80.69,17,4,,Assam,Central Command,Charlie Battalion,38.6,Rainy
Type B,A-196,2022-04-08,7537,82.31,20,3,,Kerala,South Zone,Delta Squadron,42.7,Cloudy
Type E,A-155,2020-08-04,8148,82.62,4,3,Sensors,Maharashtra,East Zone,Charlie Battalion,26.6,Stormy
Type A,A-283,2019-06-22,4788,61.6,31,5,Brakes,Assam,Central Command,Delta Squadron,43.7,Foggy
Type B,A-604,2020-07-21,1531,67.16,38,5,,Kerala,West Zone,Alpha Battalion,26.5,Rainy
Type E,A-794,2017-03-09,4473,87.44,1,4,Radar,Uttar Pradesh,North Zone,Charlie Battalion,20.4,Foggy
Type A,A-256,2016-11-04,262,84.39,12,6,,Assam,South Zone,Charlie Battalion,27.8,Stormy
Type C,A-304,2017-04-24,2830,95.44,20,0,Gun System,Punjab,Central Command,Bravo Battalion,36.3,Windy
Type D,A-521,2024-11-13,5814,74.6,31,8,Brakes,Kerala,North Zone,Delta Squadron,40.7,Cloudy
Type A,A-811,2015-11-02,1949,92.53,37,4,Transmission,Maharashtra,North Zone,Charlie Battalion,39.9,Stormy
Type E,A-276,2016-01-18,521,95.67,19,8,,Maharashtra,East Zone,Alpha Battalion,14.2,Stormy
Type D,A-384,2017-01-29,3607,91.17,8,3,Transmission,Gujarat,West Zone,Bravo Battalion,23.3,Rainy
Type A,A-862,2020-05-12,6446,64.81,15,5,,Rajasthan,North Zone,Charlie Battalion,10.5,Windy
Type C,A-305,2021-10-02,7717,66.5,46,2,Armor Plating,Gujarat,West Zone,Charlie Battalion,19.6,Rainy
Type B,A-819,2017-12-05,7769,97.11,33,4,Armor Plating,Maharashtra,North Zone,Delta Squadron,39.2,Windy
Type D,A-641,2017-03-01,3633,78.71,27,3,,Punjab,South Zone,Charlie Battalion,29.6,Sunny
Type C,A-279,2016-02-03,2851,82.06,31,0,Gun System,Gujarat,East Zone,Bravo Battalion,21.6,Stormy
Type A,A-489,2015-03-08,4700,69.16,33,6,,Punjab,East Zone,Alpha Battalion,42.5,Foggy
Type D,A-798,2017-11-17,3594,76.69,17,4,,Rajasthan,North Zone,Alpha Battalion,34.2,Sunny
Type A,A-646,2024-09-05,8384,98.59,41,5,,Uttar Pradesh,West Zone,Alpha Battalion,30.1,Cloudy
Type D,A-110,2022-10-14,2721,94.35,5,4,,Uttar Pradesh,South Zone,Echo Force,30.1,Windy
Type C,A-168,2018-04-14,343,63.64,8,3,,Kerala,East Zone,Delta Squadron,26.0,Cloudy
Type D,A-530,2021-12-10,3693,82.93,41,4,Sensors,Delhi,West Zone,Delta Squadron,22.1,Rainy
Type D,A-675,2019-12-10,1436,87.81,24,5,Brakes,Uttar Pradesh,South Zone,Delta Squadron,20.1,Cloudy
Type A,A-485,2024-08-07,2626,71.19,34,6,,Kerala,Central Command,Charlie Battalion,25.6,Stormy
Type A,A-685,2022-06-02,2440,72.61,46,2,Armor Plating,Uttar Pradesh,North Zone,Alpha Battalion,14.5,Stormy
Type E,A-164,2023-07-22,4551,92.43,30,8,,Assam,North Zone,Delta Squadron,29.3,Stormy
Type A,A-123,2021-09-15,6199,79.43,18,4,Armor Plating,Rajasthan,South Zone,Bravo Battalion,27.2,Foggy
Type A,A-961,2020-07-10,5084,75.48,9,7,,Punjab,Central Command,Echo Force,33.7,Foggy
Type C,A-746,2021-10-18,104,99.91,41,4,Armor Plating,Kerala,South Zone,Delta Squadron,41.7,Foggy
Type C,A-182,2015-11-18,7816,93.01,10,5,Brakes,Punjab,South Zone,Alpha Battalion,22.4,Foggy
Type A,A-688,2022-03-17,7412,71.23,5,5,Sensors,West Bengal,South Zone,Charlie Battalion,42.9,Sunny
Type E,A-447,2022-09-13,9120,68.16,38,4,,West Bengal,North Zone,Charlie Battalion,18.1,Windy
Type B,A-764,2015-10-20,6789,63.12,39,5,,Maharashtra,South Zone,Alpha Battalion,19.2,Sunny
Type E,A-679,2018-11-14,6969,64.1,11,1,Navigation System,Tamil Nadu,West Zone,Bravo Battalion,11.2,Cloudy
Type E,A-311,2018-05-16,9051,78.25,4,1,Brakes,Uttar Pradesh,North Zone,Alpha Battalion,44.7,Cloudy
Type E,A-818,2015-04-21,5303,66.82,39,3,Sensors,Delhi,Central Command,Delta Squadron,39.0,Foggy
Type D,A-778,2021-07-06,4694,96.68,2,0,Sensors,Tamil Nadu,West Zone,Charlie Battalion,10.3,Rainy
Type E,A-692,2021-03-08,5299,91.5,30,3,Gun System,Delhi,West Zone,Alpha Battalion,24.9,Sunny
Type C,A-910,2018-07-03,5340,89.6,17,4,Transmission,Gujarat,South Zone,Bravo Battalion,39.7,Sunny
Type B,A-485,2023-07-06,792,79.16,21,7,Brakes,Punjab,Central Command,Echo Force,24.9,Rainy
Type A,A-637,2018-12-31,1772,90.53,43,2,Armor Plating,Punjab,Central Command,Charlie Battalion,10.9,Rainy
Type C,A-711,2023-01-11,4036,69.28,39,4,Transmission,Delhi,North Zone,Alpha Battalion,33.4,Windy
Type C,A-325,2023-06-26,1778,66.9,28,6,Navigation System,Kerala,Central Command,Echo Force,19.3,Windy
Type C,A-689,2017-09-23,5953,65.81,34,5,,Rajasthan,East Zone,Echo Force,11.1,Stormy
Type B,A-281,2016-01-24,4219,78.77,0,7,Wiring,Tamil Nadu,North Zone,Delta Squadron,25.8,Stormy
Type B,A-192,2023-05-01,8638,96.01,44,0,,Assam,North Zone,Echo Force,10.7,Cloudy
Type E,A-610,2017-12-13,9669,84.35,41,0,,Maharashtra,South Zone,Bravo Battalion,34.0,Stormy
Type C,A-980,2022-03-05,104,79.66,30,2,,Maharashtra,West Zone,Bravo Battalion,22.4,Stormy
Type D,A-600,2020-03-07,5089,61.78,9,3,Gun System,Assam,North Zone,Delta Squadron,24.5,Foggy
Type C,A-866,2021-12-17,2394,77.1,41,6,,Tamil Nadu,North Zone,Alpha Battalion,30.6,Sunny
Type B,A-172,2021-01-06,805,92.6,24,1,,Kerala,Central Command,Bravo Battalion,24.9,Cloudy
Type A,A-536,2022-03-25,6323,61.87,16,5,,Tamil Nadu,West Zone,Alpha Battalion,11.7,Cloudy
Type B,A-530,2024-01-01,1169,84.66,32,4,Wiring,Rajasthan,East Zone,Delta Squadron,23.3,Foggy
Type C,A-324,2015-07-26,7186,60.73,35,9,,Punjab,South Zone,Delta Squadron,25.4,Cloudy
Type B,A-798,2021-05-20,9739,63.51,17,5,,Maharashtra,North Zone,Bravo Battalion,26.5,Rainy
Type B,A-883,2023-07-01,1183,70.43,49,10,Wiring,West Bengal,East Zone,Delta Squadron,30.8,Foggy
Type B,A-727,2019-12-31,6665,80.64,13,6,,Maharashtra,North Zone,Delta Squadron,33.8,Stormy
Type E,A-513,2015-03-19,3148,94.85,39,7,Transmission,Gujarat,East Zone,Bravo Battalion,13.1,Sunny
Type D,A-746,2020-10-01,6944,71.69,4,2,Sensors,Uttar Pradesh,West Zone,Delta Squadron,42.3,Cloudy
Type D,A-498,2022-07-04,8804,92.62,28,3,Engine,Gujarat,North Zone,Alpha Battalion,39.7,Rainy
Type E,A-671,2023-10-08,1752,80.67,45,3,Wiring,Gujarat,East Zone,Delta Squadron,13.5,Windy
Type D,A-664,2021-06-04,6886,67.67,50,7,Navigation System,Gujarat,East Zone,Charlie Battalion,39.0,Stormy
Type B,A-855,2022-10-15,4784,84.73,24,3,,Tamil Nadu,East Zone,Bravo Battalion,34.0,Stormy
Type C,A-597,2017-11-03,234,77.44,44,4,Transmission,Punjab,Central Command,Alpha Battalion,19.1,Cloudy
Type B,A-765,2023-05-06,2376,89.4,18,1,Engine,Kerala,West Zone,Charlie Battalion,12.9,Foggy
Type A,A-270,2020-04-26,1552,74.32,42,5,Armor Plating,Maharashtra,Central Command,Charlie Battalion,23.7,Windy
Type E,A-388,2015-09-09,8815,81.65,5,0,,Assam,East Zone,Alpha Battalion,32.4,Stormy
Type A,A-380,2024-04-14,1302,66.89,4,8,,Delhi,West Zone,Delta Squadron,15.1,Foggy
Type D,A-885,2018-09-13,3586,88.11,8,3,Sensors,Punjab,North Zone,Echo Force,14.0,Windy
Type E,A-779,2022-08-11,7415,61.06,41,4,,West Bengal,North Zone,Alpha Battalion,21.8,Foggy
Type B,A-652,2016-10-18,5751,93.31,10,3,,Uttar Pradesh,North Zone,Charlie Battalion,38.1,Sunny
Type B,A-875,2016-07-25,1499,95.43,32,5,Navigation System,Rajasthan,Central Command,Alpha Battalion,24.6,Sunny
Type E,A-677,2016-02-29,2552,67.93,24,2,Gun System,Assam,South Zone,Echo Force,17.3,Sunny
Type B,A-833,2024-12-11,4757,91.34,17,0,Gun System,Tamil Nadu,South Zone,Delta Squadron,34.5,Sunny
Type C,A-391,2020-12-13,6272,88.83,49,7,,Rajasthan,North Zone,Delta Squadron,19.1,Cloudy
Type C,A-378,2016-10-29,4695,63.65,26,4,,Assam,East Zone,Echo Force,16.7,Rainy
Type C,A-284,2019-08-01,8126,94.74,24,2,Radar,Rajasthan,Central Command,Charlie Battalion,13.2,Windy
Type E,A-121,2019-01-11,9852,75.6,27,6,Brakes,Rajasthan,East Zone,Charlie Battalion,13.0,Foggy
Type D,A-354,2021-02-15,3337,99.15,38,0,,Assam,West Zone,Bravo Battalion,24.4,Rainy
Type B,A-257,2022-11-15,1881,90.7,42,8,Armor Plating,Delhi,South Zone,Alpha Battalion,25.2,Foggy
Type B,A-633,2020-09-17,8674,98.0,3,7,Armor Plating,West Bengal,East Zone,Bravo Battalion,37.9,Windy
Type B,A-367,2019-07-23,3303,99.54,41,4,Sensors,Kerala,East Zone,Delta Squadron,40.8,Foggy
Type E,A-817,2022-07-13,6287,76.95,9,2,,Rajasthan,West Zone,Alpha Battalion,22.5,Sunny
Type A,A-185,2021-02-04,837,88.03,18,5,Gun System,Punjab,North Zone,Bravo Battalion,35.2,Sunny
Type B,A-209,2015-10-06,5881,72.46,34,3,Engine,Kerala,South Zone,Delta Squadron,42.6,Cloudy
Type C,A-883,2024-04-17,3890,60.5,30,6,,Kerala,East Zone,Bravo Battalion,11.4,Cloudy
Type D,A-236,2021-12-07,8493,86.73,50,10,,Kerala,East Zone,Charlie Battalion,14.1,Rainy
Type A,A-660,2024-03-18,3493,88.4,5,6,,Gujarat,West Zone,Alpha Battalion,19.7,Rainy
Type B,A-480,2023-01-26,5866,90.56,18,4,,Assam,Central Command,Delta Squadron,22.7,Rainy
Type D,A-787,2015-06-27,4577,91.1,47,0,,West Bengal,Central Command,Alpha Battalion,20.6,Rainy
Type D,A-958,2015-10-29,739,66.03,4,6,Radar,Maharashtra,Central Command,Alpha Battalion,17.5,Stormy
Type C,A-621,2017-07-22,9174,96.9,16,6,,West Bengal,Central Command,Echo Force,30.1,Rainy
Type E,A-438,2019-07-16,6949,69.86,6,7,Engine,Rajasthan,North Zone,Echo Force,29.5,Windy
Type E,A-998,2024-08-22,3818,77.77,48,3,,Assam,West Zone,Charlie Battalion,40.2,Cloudy
Type C,A-317,2023-12-24,3931,73.19,1,9,Armor Plating,Delhi,South Zone,Bravo Battalion,21.6,Windy
Type C,A-269,2024-09-24,8096,85.54,41,4,,Maharashtra,North Zone,Echo Force,23.2,Cloudy
Type D,A-114,2017-03-20,2138,82.41,13,6,,West Bengal,Central Command,Alpha Battalion,40.5,Sunny
Type E,A-918,2023-12-31,7929,92.62,14,3,,Assam,North Zone,Alpha Battalion,44.4,Sunny
Type C,A-616,2016-12-18,4576,89.87,28,2,,Punjab,East Zone,Alpha Battalion,35.3,Windy
Type C,A-174,2015-12-20,2055,87.03,2,3,,Kerala,Central Command,Echo Force,29.1,Windy
Type E,A-178,2019-04-24,7273,95.44,17,7,,Maharashtra,East Zone,Charlie Battalion,19.2,Rainy
Type A,A-638,2018-11-14,3267,88.69,47,2,Armor Plating,Gujarat,Central Command,Charlie Battalion,33.2,Windy
Type B,A-446,2017-05-14,1781,87.52,48,3,,Gujarat,West Zone,Bravo Battalion,27.5,Stormy
Type E,A-994,2020-11-20,8049,64.47,1,6,Navigation System,Tamil Nadu,South Zone,Bravo Battalion,39.8,Cloudy
Type E,A-313,2024-04-29,5433,85.13,0,1,,Rajasthan,South Zone,Echo Force,29.8,Windy
Type C,A-617,2021-08-10,9864,85.58,23,2,,Uttar Pradesh,South Zone,Delta Squadron,45.0,Foggy
Type B,A-809,2024-06-04,7911,97.09,42,6,,Tamil Nadu,East Zone,Echo Force,40.1,Windy
Type E,A-218,2021-10-22,1240,74.09,23,2,,Kerala,East Zone,Alpha Battalion,11.0,Sunny
Type E,A-688,2018-04-06,272,81.69,16,3,Brakes,Punjab,South Zone,Charlie Battalion,13.1,Windy
Type B,A-642,2024-11-18,4825,87.74,10,6,Armor Plating,Delhi,South Zone,Charlie Battalion,16.8,Cloudy
Type C,A-297,2023-09-30,965,69.29,24,7,Transmission,Tamil Nadu,North Zone,Bravo Battalion,20.0,Rainy
Type B,A-809,2018-02-03,1922,96.04,4,1,,Maharashtra,West Zone,Bravo Battalion,40.3,Rainy
Type B,A-367,2022-11-04,5112,72.53,13,5,,Kerala,West Zone,Bravo Battalion,22.8,Cloudy
Type C,A-533,2023-04-21,2444,93.49,30,2,,Delhi,West Zone,Alpha Battalion,19.1,Rainy
Type A,A-848,2020-12-14,8494,86.69,27,4,Engine,Kerala,Central Command,Bravo Battalion,30.9,Foggy
Type D,A-601,2020-02-08,5660,83.41,19,1,,West Bengal,North Zone,Alpha Battalion,21.2,Rainy
Type C,A-170,2019-07-23,1237,97.41,20,2,,West Bengal,South Zone,Echo Force,25.1,Stormy
Type B,A-375,2023-04-03,2148,79.83,45,2,,West Bengal,Central Command,Charlie Battalion,42.4,Foggy
Type E,A-976,2019-09-11,2495,79.31,23,8,,Delhi,South Zone,Echo Force,31.6,Windy
Type E,A-566,2019-01-07,5657,77.36,38,5,,Delhi,South Zone,Bravo Battalion,44.2,Foggy
Type D,A-517,2015-12-24,2441,94.11,1,1,,Punjab,West Zone,Echo Force,44.4,Sunny
Type D,A-773,2021-05-01,790,98.24,5,7,,Uttar Pradesh,Central Command,Echo Force,33.3,Cloudy
Type B,A-575,2023-09-04,913,78.29,18,5,Gun System,Uttar Pradesh,North Zone,Bravo Battalion,13.2,Sunny
Type E,A-702,2021-10-13,1021,83.61,41,2,,Uttar Pradesh,East Zone,Alpha Battalion,38.8,Rainy
Type E,A-839,2018-01-19,4203,65.18,6,1,Transmission,Tamil Nadu,North Zone,Charlie Battalion,42.0,Cloudy
Type A,A-225,2017-03-29,9058,93.67,37,4,,Tamil Nadu,East Zone,Delta Squadron,17.3,Stormy
Type A,A-495,2016-06-14,3040,79.86,21,3,Sensors,Punjab,North Zone,Charlie Battalion,19.7,Rainy
Type E,A-335,2018-05-10,5127,87.57,26,4,,Uttar Pradesh,East Zone,Charlie Battalion,31.4,Rainy
Type D,A-716,2019-05-22,4975,74.91,47,3,,Tamil Nadu,North Zone,Bravo Battalion,31.5,Rainy
Type A,A-653,2018-07-03,4320,87.76,9,2,,Maharashtra,North Zone,Echo Force,35.3,Windy
Type E,A-326,2024-01-17,4806,95.43,39,2,,West Bengal,North Zone,Charlie Battalion,14.7,Stormy
Type A,A-783,2019-06-07,8758,84.69,42,0,,Kerala,West Zone,Echo Force,28.9,Windy
Type E,A-378,2015-07-01,7701,67.03,43,2,Radar,Tamil Nadu,North Zone,Bravo Battalion,40.9,Stormy
Type C,A-587,2018-02-18,5843,97.81,17,5,,Delhi,North Zone,Alpha Battalion,26.0,Foggy
Type C,A-818,2023-07-02,6261,81.72,3,0,Radar,West Bengal,South Zone,Alpha Battalion,41.8,Foggy
Type E,A-468,2021-11-25,6105,61.32,6,4,Wiring,Kerala,South Zone,Bravo Battalion,40.5,Foggy
Type C,A-419,2022-07-01,754,86.36,43,3,Brakes,Uttar Pradesh,Central Command,Echo Force,17.4,Rainy
Type A,A-883,2022-11-02,7998,89.95,5,9,,Rajasthan,East Zone,Charlie Battalion,25.4,Rainy
Type D,A-419,2023-12-24,9762,81.7,4,2,,Uttar Pradesh,East Zone,Bravo Battalion,14.7,Cloudy
Type D,A-295,2024-02-19,7251,76.33,42,5,,Delhi,West Zone,Delta Squadron,22.4,Rainy
Type C,A-706,2016-10-30,1384,72.02,19,0,,Gujarat,South Zone,Alpha Battalion,31.3,Stormy
Type A,A-203,2017-04-19,3274,99.82,46,6,,Gujarat,East Zone,Echo Force,23.7,Foggy
Type A,A-647,2023-01-10,6547,99.31,43,4,Wiring,West Bengal,East Zone,Charlie Battalion,24.9,Cloudy
Type A,A-202,2021-11-05,3311,76.58,4,1,,Punjab,West Zone,Echo Force,32.7,Cloudy
Type B,A-837,2017-03-30,5191,96.0,24,5,,Punjab,East Zone,Delta Squadron,15.4,Cloudy
Type C,A-230,2023-06-10,6393,71.04,16,4,,Gujarat,Central Command,Charlie Battalion,44.1,Stormy
Type E,A-645,2020-10-22,6043,68.64,41,7,Gun System,Delhi,North Zone,Charlie Battalion,38.0,Cloudy
Type C,A-180,2015-06-18,8279,81.7,26,3,Navigation System,Delhi,West Zone,Charlie Battalion,41.6,Rainy
Type E,A-606,2018-04-29,8845,85.11,15,6,,Maharashtra,East Zone,Charlie Battalion,36.1,Stormy
Type D,A-296,2022-08-06,3244,63.51,6,10,,Kerala,North Zone,Alpha Battalion,21.1,Sunny
Type B,A-599,2020-01-07,6218,89.73,21,1,,Kerala,North Zone,Charlie Battalion,29.7,Stormy
Type B,A-228,2017-08-29,4806,77.38,9,3,Gun System,Tamil Nadu,East Zone,Charlie Battalion,42.0,Foggy
Type C,A-493,2021-02-20,2532,85.83,21,1,,Gujarat,Central Command,Alpha Battalion,45.0,Cloudy
Type C,A-656,2017-06-26,6702,93.95,1,3,,Assam,East Zone,Delta Squadron,25.6,Stormy
Type E,A-212,2017-09-05,6872,72.67,42,9,Brakes,West Bengal,Central Command,Alpha Battalion,25.1,Sunny
Type E,A-366,2023-09-16,5744,67.81,7,1,Engine,Delhi,East Zone,Alpha Battalion,22.6,Foggy
Type D,A-578,2017-11-18,5636,74.18,30,4,,Assam,Central Command,Bravo Battalion,13.4,Sunny
Type B,A-695,2024-03-05,9285,71.82,7,5,Radar,Assam,West Zone,Echo Force,13.0,Foggy
Type D,A-629,2019-01-30,2767,70.61,7,6,,Uttar Pradesh,South Zone,Alpha Battalion,43.0,Sunny
Type A,A-863,2021-08-01,4688,65.8,18,8,,Rajasthan,South Zone,Echo Force,34.5,Windy
Type D,A-904,2018-03-23,2008,63.41,26,5,Transmission,Kerala,South Zone,Alpha Battalion,37.1,Sunny
Type E,A-231,2020-05-22,3055,65.23,49,3,,Tamil Nadu,East Zone,Alpha Battalion,29.6,Cloudy
Type C,A-242,2017-02-19,8791,76.02,7,4,Radar,Uttar Pradesh,West Zone,Bravo Battalion,16.5,Rainy
Type B,A-497,2019-09-07,2610,81.46,44,6,,Punjab,South Zone,Alpha Battalion,38.4,Cloudy
Type C,A-650,2018-12-07,9866,91.15,42,3,Transmission,Delhi,Central Command,Bravo Battalion,25.7,Rainy
Type B,A-724,2021-07-08,6604,69.49,37,5,Sensors,Delhi,Central Command,Charlie Battalion,29.5,Foggy
Type D,A-937,2022-06-12,2531,89.95,31,6,,Maharashtra,West Zone,Alpha Battalion,23.7,Cloudy
Type B,A-771,2017-08-09,4165,71.12,47,7,,Rajasthan,North Zone,Echo Force,18.8,Sunny
Type E,A-261,2021-03-19,3621,70.45,14,0,,Uttar Pradesh,West Zone,Echo Force,19.7,Stormy
Type B,A-107,2024-03-02,2470,74.24,30,3,Wiring,Rajasthan,Central Command,Echo Force,19.8,Windy
Type A,A-514,2015-03-11,275,77.35,15,6,,Gujarat,North Zone,Echo Force,30.6,Rainy
Type A,A-189,2017-05-05,1753,91.7,23,0,Gun System,Rajasthan,Central Command,Echo Force,24.2,Foggy
Type B,A-906,2022-07-03,1535,61.34,17,3,Gun System,Gujarat,West Zone,Alpha Battalion,18.9,Cloudy
Type C,A-233,2023-11-18,1656,91.23,7,8,Radar,Kerala,Central Command,Alpha Battalion,12.9,Rainy
Type B,A-683,2020-03-07,9888,69.83,40,6,,Punjab,South Zone,Echo Force,44.9,Cloudy
Type E,A-306,2020-02-09,6185,88.26,5,1,,Uttar Pradesh,South Zone,Charlie Battalion,14.2,Cloudy
Type A,A-668,2018-05-21,5063,99.62,20,6,Brakes,West Bengal,Central Command,Alpha Battalion,12.3,Windy
Type C,A-746,2023-05-06,2854,66.05,47,0,,Punjab,Central Command,Delta Squadron,21.7,Rainy
Type C,A-660,2024-05-29,1130,91.47,19,0,,Gujarat,North Zone,Delta Squadron,38.1,Sunny
Type B,A-143,2019-08-04,2774,74.99,44,3,Sensors,Maharashtra,West Zone,Bravo Battalion,19.7,Sunny
Type D,A-595,2021-10-05,222,99.61,43,4,,Delhi,West Zone,Charlie Battalion,21.5,Rainy
Type E,A-839,2022-06-29,7646,93.11,33,9,Transmission,Kerala,West Zone,Echo Force,42.9,Cloudy
Type A,A-510,2020-03-05,3764,63.26,49,2,,Tamil Nadu,North Zone,Delta Squadron,36.8,Sunny
Type E,A-758,2020-02-27,8873,95.48,3,0,,Uttar Pradesh,South Zone,Alpha Battalion,39.8,Cloudy
Type B,A-145,2017-06-15,8260,66.57,34,2,,Maharashtra,North Zone,Alpha Battalion,37.8,Sunny
Type E,A-571,2016-04-03,3395,69.25,17,10,Engine,Assam,South Zone,Alpha Battalion,40.9,Rainy
Type A,A-837,2018-03-31,5577,98.34,20,2,,Maharashtra,East Zone,Echo Force,18.7,Rainy
Type E,A-569,2015-05-04,479,79.98,26,2,,Assam,South Zone,Echo Force,10.1,Stormy
Type A,A-828,2023-11-06,8146,86.91,20,4,Armor Plating,Tamil Nadu,West Zone,Alpha Battalion,20.5,Rainy
Type B,A-630,2015-05-18,7138,66.15,44,6,,Tamil Nadu,East Zone,Alpha Battalion,33.2,Rainy
Type E,A-261,2024-03-14,6467,89.15,31,4,Armor Plating,Gujarat,Central Command,Delta Squadron,17.0,Sunny
Type D,A-293,2018-12-17,8277,63.03,33,7,Engine,Rajasthan,West Zone,Echo Force,20.0,Rainy
