Vehicle Type,Vehicle ID,Purchase Timestamp,Usage Hours,Performance Metrics,Maintenance Logs,Number of Failures,Parts with Issues,State,Area,Battalion,Temperature,Weather Conditions
Type A,V-566,2016-08-10,8456,96.04,31,5,None,Jammu & Kashmir,Mountainous,Punjab Regiment,-10,Extreme Cold
Type B,V-915,2018-03-27,2630,64.31,43,3,None,Punjab,Plains,Dogra Regiment,12,Mild Cold
Type D,V-929,2017-07-23,2043,84.96,45,1,None,Punjab,Plains,Bihar Regiment,23,Clear Skies
Type A,V-350,2024-10-07,800,79.69,40,2,None,Assam,Plains,Gorkha Rifles,14,Mild Cold
Type A,V-259,2023-07-02,2063,67.84,7,7,None,Arunachal Pradesh,Jungle,Dogra Regiment,30,Foggy
Type E,V-946,2019-02-21,5040,92.71,50,6,Sensors,Nagaland,Jungle,Sikh Light Infantry,31,Heavy Rain
Type A,V-674,2020-07-07,2838,89.08,24,7,Armor Plating,Nagaland,Jungle,Punjab Regiment,23,Humid
Type A,V-912,2017-06-26,8808,83.52,50,1,None,Rajasthan,Desert,Bihar Regiment,41,Hot and Dry
Type D,V-436,2015-11-07,2541,68.83,18,5,None,Nagaland,Jungle,Bihar Regiment,21,Heavy Rain
Type C,V-126,2022-10-17,693,73.36,22,2,None,Nagaland,Jungle,Punjab Regiment,24,Heavy Rain
Type D,V-510,2022-03-16,8618,83.59,49,2,Gun System,Rajasthan,Desert,Assam Rifles,50,Dust Storms
Type B,V-655,2022-11-24,174,74.22,24,7,None,Uttarakhand,Mountainous,Jat Regiment,-10,Extreme Cold
Type D,V-628,2015-08-04,9591,78.37,42,7,Transmission,Himachal Pradesh,Hilly,Rajput Regiment,14,Foggy
Type A,V-214,2017-01-08,9240,95.8,35,6,None,Nagaland,Jungle,Naga Regiment,30,Heavy Rain
Type B,V-632,2018-03-30,5639,70.37,11,5,Armor Plating,Nagaland,Jungle,Jat Regiment,20,Humid
Type E,V-582,2018-03-19,3246,76.9,18,9,None,Rajasthan,Desert,Punjab Regiment,35,Clear Skies
Type D,V-979,2022-02-11,6754,90.72,0,4,Navigation System,Rajasthan,Desert,Kumaon Regiment,47,Hot and Dry
Type E,V-915,2023-03-03,4244,90.54,46,8,None,Nagaland,Jungle,Rajput Regiment,23,Foggy
Type E,V-550,2022-01-25,1979,95.98,33,2,None,Sikkim,Mountainous,Bihar Regiment,-1,Extreme Cold
Type A,V-401,2023-12-17,6128,78.72,36,7,Brakes,Manipur,Jungle,Punjab Regiment,26,Heavy Rain
Type E,V-837,2019-01-26,2135,99.97,40,10,Wiring,Nagaland,Jungle,Kumaon Regiment,30,Humid
Type C,V-442,2023-04-28,4705,76.91,41,6,Wiring,Jammu & Kashmir,Mountainous,Gorkha Rifles,-3,Foggy
Type D,V-710,2016-06-13,9810,76.24,5,0,None,Manipur,Jungle,Gorkha Rifles,22,Humid
Type D,V-708,2017-05-29,1350,93.79,3,6,Brakes,Sikkim,Mountainous,Punjab Regiment,-6,Extreme Cold
Type B,V-498,2017-07-15,4713,71.39,39,3,None,Jammu & Kashmir,Mountainous,Gorkha Rifles,4,Foggy
Type A,V-684,2016-06-01,2250,86.53,4,2,Armor Plating,Nagaland,Jungle,Punjab Regiment,28,Humid
Type E,V-563,2016-05-07,5873,90.58,19,7,None,Himachal Pradesh,Hilly,Sikh Light Infantry,12,Cool Climate
Type E,V-925,2015-07-01,5181,85.35,20,5,None,Jammu & Kashmir,Mountainous,Dogra Regiment,-3,Extreme Cold
Type E,V-253,2017-06-06,4870,97.56,21,8,Navigation System,Punjab,Plains,Dogra Regiment,25,Clear Skies
Type B,V-125,2020-08-10,6837,64.8,2,1,Brakes,Arunachal Pradesh,Jungle,Sikh Light Infantry,30,Foggy
Type A,V-937,2019-04-07,2657,68.49,1,5,Sensors,Punjab,Plains,Punjab Regiment,16,Foggy
Type A,V-328,2020-10-16,2707,87.35,24,3,None,Himachal Pradesh,Hilly,Gorkha Rifles,7,Rainy
Type C,V-122,2015-11-29,6267,69.51,7,1,Gun System,Arunachal Pradesh,Jungle,Rajput Regiment,23,Foggy
Type E,V-571,2020-11-27,9870,94.95,24,10,None,Sikkim,Mountainous,Naga Regiment,-7,Extreme Cold
Type C,V-263,2017-07-08,5954,83.84,12,6,None,Rajasthan,Desert,Kumaon Regiment,34,Hot and Dry
Type D,V-916,2023-12-11,4851,63.06,17,8,Gun System,Himachal Pradesh,Hilly,Naga Regiment,12,Foggy
Type B,V-343,2015-09-22,4466,80.24,44,3,Radar,Nagaland,Jungle,Sikh Light Infantry,31,Foggy
Type E,V-407,2023-08-08,8613,84.84,47,7,None,Sikkim,Mountainous,Assam Rifles,8,Extreme Cold
Type D,V-864,2024-01-29,8879,66.93,4,7,None,Himachal Pradesh,Hilly,Sikh Light Infantry,5,Rainy
Type C,V-101,2017-09-15,7900,84.62,4,1,Wiring,Jammu & Kashmir,Mountainous,Dogra Regiment,-2,Snowfall
Type E,V-595,2024-03-10,7518,89.53,48,2,None,Manipur,Jungle,Punjab Regiment,25,Humid
Type A,V-479,2016-09-25,8602,70.92,39,1,Transmission,Sikkim,Mountainous,Bihar Regiment,2,Extreme Cold
Type C,V-791,2019-11-12,9672,74.75,27,8,Armor Plating,Punjab,Plains,Kumaon Regiment,21,Mild Cold
Type E,V-441,2022-03-24,3423,61.19,4,6,None,Arunachal Pradesh,Jungle,Naga Regiment,25,Heavy Rain
Type D,V-780,2017-07-10,3229,69.33,0,0,Armor Plating,Rajasthan,Desert,Dogra Regiment,44,Dust Storms
Type C,V-925,2024-04-24,8359,82.8,1,5,None,Uttarakhand,Mountainous,Sikh Light Infantry,-2,Snowfall
Type B,V-507,2018-12-25,5037,73.76,15,5,None,Manipur,Jungle,Kumaon Regiment,24,Heavy Rain
Type D,V-871,2023-12-10,9102,85.81,41,3,Sensors,Himachal Pradesh,Hilly,Assam Rifles,18,Foggy
Type D,V-717,2015-08-27,5973,86.25,31,5,Wiring,Uttarakhand,Mountainous,Bihar Regiment,2,Snowfall
Type D,V-917,2016-02-19,6265,68.39,25,5,Radar,Nagaland,Jungle,Assam Rifles,25,Foggy
Type B,V-832,2019-02-24,2113,88.35,45,2,None,Punjab,Plains,Sikh Light Infantry,21,Mild Cold
Type B,V-266,2021-09-10,9660,96.12,27,1,None,Arunachal Pradesh,Jungle,Naga Regiment,23,Humid
Type C,V-954,2022-01-31,4424,64.66,15,2,Transmission,Punjab,Plains,Assam Rifles,11,Mild Cold
Type A,V-484,2022-04-15,7099,93.54,8,2,Engine,Nagaland,Jungle,Assam Rifles,31,Foggy
Type D,V-630,2017-05-18,1612,93.47,49,3,Gun System,Sikkim,Mountainous,Sikh Light Infantry,5,Extreme Cold
Type C,V-804,2019-12-30,8961,85.01,4,7,Radar,Jammu & Kashmir,Mountainous,Naga Regiment,-3,Extreme Cold
Type B,V-319,2019-02-15,3509,62.16,33,8,None,Arunachal Pradesh,Jungle,Punjab Regiment,26,Heavy Rain
Type A,V-740,2022-03-22,2453,65.43,33,4,Armor Plating,Himachal Pradesh,Hilly,Sikh Light Infantry,16,Cool Climate
Type B,V-279,2019-08-24,8336,71.36,49,4,Brakes,Uttarakhand,Mountainous,Kumaon Regiment,1,Extreme Cold
Type D,V-846,2015-03-31,5495,70.23,13,1,None,Rajasthan,Desert,Punjab Regiment,39,Dust Storms
Type B,V-110,2020-12-31,9219,84.53,1,1,Wiring,Manipur,Jungle,Punjab Regiment,30,Foggy
Type B,V-861,2021-06-19,5291,88.74,48,8,Armor Plating,Uttarakhand,Mountainous,Punjab Regiment,-8,Foggy
Type A,V-101,2022-04-19,7579,73.07,7,5,Sensors,Uttarakhand,Mountainous,Assam Rifles,-2,Foggy
Type E,V-492,2017-12-28,1206,94.63,11,2,Navigation System,Jammu & Kashmir,Mountainous,Kumaon Regiment,10,Foggy
Type C,V-655,2018-03-27,7985,63.14,46,2,None,Punjab,Plains,Rajput Regiment,23,Mild Cold
Type B,V-112,2022-04-05,2231,88.78,48,5,Brakes,Sikkim,Mountainous,Jat Regiment,-9,Foggy
Type A,V-571,2021-09-21,4101,97.38,7,4,Gun System,Manipur,Jungle,Punjab Regiment,22,Foggy
Type A,V-598,2015-12-02,7246,75.56,1,9,Sensors,Arunachal Pradesh,Jungle,Assam Rifles,27,Foggy
Type B,V-968,2016-04-06,9280,96.88,5,7,Gun System,Himachal Pradesh,Hilly,Kumaon Regiment,15,Foggy
Type C,V-515,2018-11-27,6286,60.03,16,2,None,Jammu & Kashmir,Mountainous,Bihar Regiment,-7,Extreme Cold
Type B,V-558,2022-06-17,3838,63.25,14,6,Transmission,Sikkim,Mountainous,Sikh Light Infantry,-8,Foggy
Type D,V-461,2021-08-20,547,80.13,8,9,Transmission,Himachal Pradesh,Hilly,Sikh Light Infantry,20,Rainy
Type C,V-723,2021-04-02,8940,82.89,2,1,Sensors,Arunachal Pradesh,Jungle,Sikh Light Infantry,29,Heavy Rain
Type D,V-155,2020-08-21,5299,76.28,21,7,None,Assam,Plains,Kumaon Regiment,21,Mild Cold
Type B,V-763,2015-10-05,6856,91.95,19,1,None,Punjab,Plains,Naga Regiment,21,Foggy
Type E,V-443,2021-08-29,7142,81.93,10,7,None,Himachal Pradesh,Hilly,Jat Regiment,15,Cool Climate
Type D,V-947,2023-09-09,3452,73.63,49,1,Sensors,Punjab,Plains,Rajput Regiment,17,Clear Skies
Type D,V-774,2016-09-14,1476,85.39,42,2,Gun System,Nagaland,Jungle,Punjab Regiment,34,Humid
Type B,V-303,2018-09-25,1760,66.95,14,9,Navigation System,Rajasthan,Desert,Punjab Regiment,31,Clear Skies
Type B,V-436,2024-09-25,858,70.32,29,1,Wiring,Uttarakhand,Mountainous,Sikh Light Infantry,3,Foggy
Type D,V-415,2019-10-26,2057,86.17,9,3,None,Nagaland,Jungle,Jat Regiment,24,Heavy Rain
Type A,V-212,2020-04-22,2766,95.09,47,4,None,Sikkim,Mountainous,Kumaon Regiment,5,Extreme Cold
Type A,V-188,2024-09-11,4034,76.58,30,8,None,Jammu & Kashmir,Mountainous,Gorkha Rifles,-5,Foggy
Type A,V-876,2019-10-12,3286,94.8,26,4,Brakes,Punjab,Plains,Bihar Regiment,27,Clear Skies
Type A,V-697,2020-06-12,6602,89.96,23,7,Wiring,Sikkim,Mountainous,Assam Rifles,-7,Extreme Cold
Type E,V-990,2018-05-06,9518,92.08,28,6,Sensors,Arunachal Pradesh,Jungle,Dogra Regiment,33,Heavy Rain
Type A,V-379,2024-11-09,796,70.41,0,2,None,Manipur,Jungle,Bihar Regiment,34,Humid
Type E,V-509,2023-03-07,619,84.22,45,3,None,Manipur,Jungle,Bihar Regiment,26,Foggy
Type B,V-444,2023-11-22,8953,77.24,50,2,Navigation System,Uttarakhand,Mountainous,Jat Regiment,-3,Extreme Cold
Type B,V-251,2024-10-24,403,95.62,22,3,None,Jammu & Kashmir,Mountainous,Sikh Light Infantry,4,Foggy
Type E,V-241,2021-10-28,3043,83.27,17,6,Engine,Assam,Plains,Naga Regiment,18,Clear Skies
Type D,V-202,2020-11-11,1514,60.42,5,2,Brakes,Manipur,Jungle,Rajput Regiment,32,Foggy
Type E,V-336,2021-10-11,9987,78.83,32,9,None,Nagaland,Jungle,Jat Regiment,23,Foggy
Type E,V-696,2019-06-15,5172,62.71,41,8,None,Rajasthan,Desert,Rajput Regiment,34,Clear Skies
Type C,V-784,2021-06-12,6800,64.65,11,0,Engine,Himachal Pradesh,Hilly,Assam Rifles,7,Foggy
Type A,V-302,2017-02-23,1064,86.62,34,6,None,Sikkim,Mountainous,Rajput Regiment,0,Foggy
Type D,V-229,2016-09-29,6796,95.65,34,5,None,Punjab,Plains,Rajput Regiment,25,Mild Cold
Type E,V-945,2024-06-16,1169,77.84,9,4,None,Jammu & Kashmir,Mountainous,Jat Regiment,1,Snowfall
Type B,V-605,2017-08-31,8031,81.34,13,8,None,Uttarakhand,Mountainous,Kumaon Regiment,3,Extreme Cold
Type B,V-718,2022-03-09,1575,68.92,37,2,None,Nagaland,Jungle,Punjab Regiment,25,Heavy Rain
Type D,V-963,2020-10-13,1585,67.56,39,3,None,Jammu & Kashmir,Mountainous,Bihar Regiment,3,Snowfall
Type C,V-655,2024-11-27,3484,93.84,19,2,None,Uttarakhand,Mountainous,Punjab Regiment,-2,Snowfall
Type E,V-904,2019-02-22,2409,77.55,10,9,Radar,Manipur,Jungle,Jat Regiment,23,Humid
Type C,V-850,2018-08-26,4149,85.95,12,1,Brakes,Himachal Pradesh,Hilly,Punjab Regiment,10,Rainy
Type B,V-391,2016-12-29,252,63.19,1,4,None,Nagaland,Jungle,Sikh Light Infantry,33,Foggy
Type D,V-614,2018-10-12,8222,66.48,43,2,Navigation System,Arunachal Pradesh,Jungle,Dogra Regiment,20,Humid
Type C,V-589,2017-02-26,1224,80.78,50,2,Navigation System,Uttarakhand,Mountainous,Punjab Regiment,6,Snowfall
Type D,V-769,2018-12-24,9662,99.18,16,2,Gun System,Jammu & Kashmir,Mountainous,Rajput Regiment,-2,Extreme Cold
Type D,V-134,2019-06-20,7533,93.24,47,7,None,Jammu & Kashmir,Mountainous,Rajput Regiment,6,Foggy
Type D,V-213,2018-09-01,6851,72.22,50,1,Sensors,Rajasthan,Desert,Assam Rifles,33,Clear Skies
Type E,V-744,2021-12-24,2128,68.38,3,0,Sensors,Manipur,Jungle,Naga Regiment,34,Heavy Rain
Type C,V-676,2015-07-22,898,68.2,29,5,Radar,Jammu & Kashmir,Mountainous,Jat Regiment,2,Foggy
Type E,V-391,2016-07-25,4902,74.57,33,1,None,Himachal Pradesh,Hilly,Jat Regiment,10,Foggy
Type C,V-451,2016-09-16,2833,79.77,46,5,None,Punjab,Plains,Gorkha Rifles,10,Foggy
Type A,V-283,2015-12-17,4523,96.37,21,9,Transmission,Uttarakhand,Mountainous,Dogra Regiment,8,Foggy
Type C,V-317,2018-10-15,4586,87.35,27,2,None,Sikkim,Mountainous,Jat Regiment,9,Snowfall
Type D,V-305,2018-04-12,4518,70.54,6,2,None,Sikkim,Mountainous,Bihar Regiment,-9,Extreme Cold
Type D,V-422,2015-12-22,7527,88.49,23,7,Radar,Arunachal Pradesh,Jungle,Punjab Regiment,33,Humid
Type C,V-465,2015-03-19,8292,87.67,16,3,None,Manipur,Jungle,Bihar Regiment,27,Heavy Rain
Type D,V-753,2018-05-12,7928,61.14,45,0,Wiring,Nagaland,Jungle,Gorkha Rifles,22,Foggy
Type D,V-574,2022-07-09,2093,71.28,24,2,None,Nagaland,Jungle,Naga Regiment,33,Humid
Type D,V-148,2016-10-31,8747,90.26,5,5,Armor Plating,Arunachal Pradesh,Jungle,Rajput Regiment,27,Heavy Rain
Type A,V-219,2023-06-21,9207,93.84,11,0,None,Sikkim,Mountainous,Gorkha Rifles,-10,Extreme Cold
Type A,V-915,2023-02-17,274,85.6,25,2,None,Jammu & Kashmir,Mountainous,Bihar Regiment,-3,Snowfall
Type A,V-636,2025-02-08,428,95.85,27,3,Radar,Sikkim,Mountainous,Gorkha Rifles,9,Extreme Cold
Type B,V-530,2016-09-14,7434,83.88,27,6,Wiring,Nagaland,Jungle,Gorkha Rifles,30,Humid
Type A,V-740,2020-08-04,6312,92.62,22,3,Armor Plating,Himachal Pradesh,Hilly,Kumaon Regiment,7,Rainy
Type E,V-277,2016-09-12,6427,72.54,10,2,Navigation System,Rajasthan,Desert,Naga Regiment,43,Dust Storms
Type C,V-136,2015-09-28,7924,79.98,20,6,None,Rajasthan,Desert,Naga Regiment,45,Dust Storms
Type A,V-370,2022-09-05,7407,67.44,3,3,None,Punjab,Plains,Gorkha Rifles,11,Clear Skies
Type E,V-573,2016-05-09,8626,62.07,34,3,None,Punjab,Plains,Jat Regiment,19,Mild Cold
Type E,V-620,2016-07-12,3664,95.96,37,6,None,Himachal Pradesh,Hilly,Punjab Regiment,15,Rainy
Type C,V-277,2018-08-29,5429,68.25,38,9,Transmission,Uttarakhand,Mountainous,Rajput Regiment,-9,Snowfall
Type C,V-524,2019-10-27,9189,79.33,41,9,Gun System,Sikkim,Mountainous,Bihar Regiment,0,Foggy
Type D,V-143,2018-10-19,5885,60.86,35,5,Navigation System,Arunachal Pradesh,Jungle,Naga Regiment,24,Heavy Rain
Type C,V-302,2021-10-08,7017,86.17,18,3,Armor Plating,Sikkim,Mountainous,Dogra Regiment,-6,Extreme Cold
Type C,V-516,2024-05-11,666,73.03,48,3,Gun System,Rajasthan,Desert,Rajput Regiment,43,Clear Skies
Type E,V-314,2020-03-25,5695,80.2,10,2,None,Rajasthan,Desert,Dogra Regiment,44,Dust Storms
Type C,V-484,2015-11-15,1362,70.92,44,0,Brakes,Assam,Plains,Rajput Regiment,17,Clear Skies
Type A,V-793,2021-11-24,4385,82.2,30,4,None,Manipur,Jungle,Gorkha Rifles,23,Heavy Rain
Type C,V-760,2021-04-30,5305,94.73,46,3,Gun System,Assam,Plains,Rajput Regiment,15,Foggy
Type B,V-781,2021-10-22,6755,83.92,49,3,None,Jammu & Kashmir,Mountainous,Gorkha Rifles,-4,Foggy
Type C,V-599,2019-05-16,5690,95.52,29,7,Engine,Manipur,Jungle,Gorkha Rifles,28,Humid
Type A,V-931,2016-11-25,3229,76.24,34,3,None,Arunachal Pradesh,Jungle,Bihar Regiment,27,Humid
Type C,V-869,2015-09-07,6560,79.07,28,2,Sensors,Jammu & Kashmir,Mountainous,Bihar Regiment,6,Snowfall
Type C,V-743,2015-10-22,2445,74.24,44,4,None,Sikkim,Mountainous,Dogra Regiment,7,Foggy
Type D,V-183,2023-04-13,8903,62.23,25,8,None,Arunachal Pradesh,Jungle,Punjab Regiment,21,Foggy
Type C,V-569,2021-08-27,3562,71.94,28,2,Radar,Himachal Pradesh,Hilly,Punjab Regiment,14,Cool Climate
Type E,V-747,2020-04-09,8537,91.61,26,6,None,Assam,Plains,Gorkha Rifles,26,Mild Cold
Type D,V-860,2019-02-16,2929,91.73,29,4,None,Sikkim,Mountainous,Gorkha Rifles,1,Snowfall
Type E,V-783,2022-09-11,7530,79.63,17,4,None,Uttarakhand,Mountainous,Punjab Regiment,-8,Extreme Cold
Type D,V-412,2016-06-02,8364,91.0,41,0,Engine,Jammu & Kashmir,Mountainous,Assam Rifles,-1,Extreme Cold
Type E,V-276,2018-05-01,2772,83.9,45,7,None,Punjab,Plains,Naga Regiment,30,Clear Skies
Type D,V-518,2021-08-13,6294,76.36,42,8,Engine,Punjab,Plains,Rajput Regiment,14,Clear Skies
Type C,V-784,2024-01-09,6503,90.25,29,0,None,Nagaland,Jungle,Sikh Light Infantry,21,Heavy Rain
Type B,V-333,2016-01-26,1814,82.11,12,2,None,Sikkim,Mountainous,Rajput Regiment,-6,Extreme Cold
Type A,V-985,2015-04-30,9252,92.67,16,3,Armor Plating,Punjab,Plains,Kumaon Regiment,21,Mild Cold
Type A,V-847,2022-12-31,1761,75.2,24,2,None,Manipur,Jungle,Naga Regiment,27,Humid
Type C,V-555,2022-05-21,9336,61.87,28,3,Transmission,Rajasthan,Desert,Assam Rifles,42,Hot and Dry
Type E,V-604,2024-09-12,8121,65.32,7,2,None,Jammu & Kashmir,Mountainous,Sikh Light Infantry,-1,Snowfall
Type A,V-785,2021-08-26,6844,74.39,19,3,None,Manipur,Jungle,Dogra Regiment,31,Humid
Type E,V-859,2024-01-27,2281,73.23,20,8,Engine,Uttarakhand,Mountainous,Kumaon Regiment,-9,Snowfall
Type D,V-727,2024-08-03,997,61.31,25,9,Engine,Rajasthan,Desert,Dogra Regiment,34,Hot and Dry
Type E,V-888,2022-06-19,1778,73.24,30,4,None,Manipur,Jungle,Jat Regiment,25,Foggy
Type D,V-208,2023-01-09,3353,94.54,41,5,None,Arunachal Pradesh,Jungle,Jat Regiment,27,Heavy Rain
Type D,V-849,2018-08-28,2310,68.42,18,1,None,Assam,Plains,Sikh Light Infantry,13,Mild Cold
Type A,V-983,2020-12-18,3360,60.52,2,1,Radar,Assam,Plains,Assam Rifles,17,Foggy
Type E,V-830,2017-08-06,8892,83.53,13,5,Engine,Himachal Pradesh,Hilly,Naga Regiment,13,Foggy
Type C,V-684,2020-05-20,2977,80.11,25,6,None,Sikkim,Mountainous,Naga Regiment,-6,Foggy
Type A,V-289,2024-05-16,9607,79.48,40,6,None,Manipur,Jungle,Naga Regiment,35,Heavy Rain
Type A,V-419,2018-03-15,7231,72.31,49,9,Radar,Jammu & Kashmir,Mountainous,Dogra Regiment,1,Foggy
Type B,V-228,2017-09-20,9593,60.55,43,8,Transmission,Jammu & Kashmir,Mountainous,Kumaon Regiment,1,Snowfall
Type E,V-447,2016-05-10,292,96.25,19,5,Transmission,Uttarakhand,Mountainous,Dogra Regiment,4,Extreme Cold
Type B,V-394,2023-08-30,1618,98.63,26,3,Armor Plating,Punjab,Plains,Kumaon Regiment,22,Clear Skies
Type C,V-403,2016-12-14,7603,68.39,43,2,Engine,Rajasthan,Desert,Bihar Regiment,44,Hot and Dry
Type C,V-140,2025-02-17,718,98.33,33,3,None,Uttarakhand,Mountainous,Punjab Regiment,-5,Foggy
Type D,V-815,2021-07-16,7059,72.57,38,2,None,Manipur,Jungle,Dogra Regiment,22,Heavy Rain
Type B,V-220,2020-03-05,1144,70.21,4,1,None,Arunachal Pradesh,Jungle,Sikh Light Infantry,23,Humid
Type D,V-349,2022-06-01,772,83.81,45,4,None,Jammu & Kashmir,Mountainous,Punjab Regiment,0,Extreme Cold
Type C,V-132,2023-10-09,8171,92.83,42,2,Navigation System,Punjab,Plains,Assam Rifles,19,Mild Cold
Type B,V-188,2024-01-16,4840,73.97,33,5,None,Rajasthan,Desert,Kumaon Regiment,48,Clear Skies
Type E,V-765,2024-06-06,9199,61.95,11,3,Armor Plating,Himachal Pradesh,Hilly,Sikh Light Infantry,5,Cool Climate
Type B,V-236,2022-07-14,2243,97.43,43,1,None,Manipur,Jungle,Sikh Light Infantry,29,Humid
Type A,V-908,2017-04-23,4502,94.84,24,10,None,Arunachal Pradesh,Jungle,Sikh Light Infantry,28,Foggy
Type A,V-461,2016-10-20,2810,64.23,45,2,None,Jammu & Kashmir,Mountainous,Gorkha Rifles,-4,Foggy
Type C,V-721,2020-11-05,2047,82.82,50,2,None,Assam,Plains,Rajput Regiment,12,Foggy
Type E,V-889,2022-05-31,7643,93.66,31,4,None,Rajasthan,Desert,Kumaon Regiment,46,Hot and Dry
Type D,V-496,2024-09-09,692,86.21,45,3,Radar,Sikkim,Mountainous,Assam Rifles,-4,Extreme Cold
Type E,V-873,2017-11-11,2462,81.04,29,4,None,Rajasthan,Desert,Gorkha Rifles,50,Clear Skies
Type D,V-851,2020-03-23,4017,76.42,49,5,Radar,Sikkim,Mountainous,Bihar Regiment,-1,Foggy
Type B,V-139,2017-01-08,2035,92.85,20,3,Wiring,Manipur,Jungle,Naga Regiment,27,Humid
Type E,V-475,2018-01-22,3565,98.97,6,6,Armor Plating,Jammu & Kashmir,Mountainous,Naga Regiment,3,Extreme Cold
Type C,V-655,2015-11-25,4203,98.25,20,2,Brakes,Assam,Plains,Assam Rifles,29,Foggy
Type C,V-785,2021-11-24,8839,80.31,32,1,None,Sikkim,Mountainous,Sikh Light Infantry,1,Foggy
Type A,V-329,2015-09-01,2896,66.49,28,4,Navigation System,Sikkim,Mountainous,Punjab Regiment,-3,Snowfall
Type C,V-875,2019-03-10,6215,66.86,2,6,None,Punjab,Plains,Rajput Regiment,12,Foggy
Type A,V-139,2022-03-11,4316,77.87,27,6,Navigation System,Himachal Pradesh,Hilly,Punjab Regiment,6,Cool Climate
Type D,V-274,2020-09-29,960,70.99,1,0,Engine,Jammu & Kashmir,Mountainous,Kumaon Regiment,10,Snowfall
Type D,V-297,2023-01-31,5961,78.82,13,2,Armor Plating,Sikkim,Mountainous,Kumaon Regiment,-5,Snowfall
Type C,V-266,2021-03-19,5109,87.15,47,5,None,Rajasthan,Desert,Kumaon Regiment,48,Clear Skies
Type B,V-292,2021-05-03,4337,69.69,50,9,None,Rajasthan,Desert,Kumaon Regiment,45,Hot and Dry
Type A,V-363,2017-06-19,9777,82.13,37,0,Engine,Manipur,Jungle,Bihar Regiment,35,Humid
Type E,V-603,2024-05-09,527,80.07,21,2,Brakes,Himachal Pradesh,Hilly,Kumaon Regiment,8,Foggy
Type A,V-430,2015-08-17,2082,70.04,26,6,None,Assam,Plains,Kumaon Regiment,30,Mild Cold
Type E,V-647,2017-04-01,6692,82.83,10,6,Transmission,Manipur,Jungle,Rajput Regiment,23,Heavy Rain
Type E,V-248,2016-08-01,8865,87.43,39,3,None,Nagaland,Jungle,Jat Regiment,30,Foggy
Type B,V-884,2024-12-16,2913,77.31,6,4,None,Uttarakhand,Mountainous,Bihar Regiment,-10,Snowfall
Type E,V-588,2022-02-21,6892,87.04,21,3,Navigation System,Nagaland,Jungle,Jat Regiment,33,Humid
Type C,V-241,2020-10-19,8120,65.8,38,5,None,Arunachal Pradesh,Jungle,Punjab Regiment,24,Foggy
Type D,V-289,2017-03-22,875,73.18,25,4,None,Himachal Pradesh,Hilly,Rajput Regiment,8,Foggy
Type B,V-380,2016-11-24,8085,70.22,35,2,Radar,Punjab,Plains,Kumaon Regiment,24,Mild Cold
Type B,V-576,2021-06-27,7238,89.44,25,1,Armor Plating,Uttarakhand,Mountainous,Sikh Light Infantry,9,Extreme Cold
Type A,V-348,2019-03-08,2910,91.89,7,9,None,Himachal Pradesh,Hilly,Assam Rifles,9,Foggy
Type B,V-578,2022-08-28,1738,72.35,20,8,Sensors,Arunachal Pradesh,Jungle,Kumaon Regiment,32,Foggy
Type B,V-870,2018-12-14,2303,74.14,13,8,None,Rajasthan,Desert,Dogra Regiment,40,Clear Skies
Type E,V-413,2019-08-26,495,78.31,46,1,None,Arunachal Pradesh,Jungle,Sikh Light Infantry,22,Foggy
Type E,V-341,2020-02-12,5092,88.94,3,7,None,Sikkim,Mountainous,Dogra Regiment,4,Foggy
Type A,V-973,2016-10-04,788,85.45,48,0,Engine,Manipur,Jungle,Kumaon Regiment,26,Foggy
Type C,V-908,2017-01-30,1429,77.58,8,5,Gun System,Nagaland,Jungle,Jat Regiment,25,Heavy Rain
Type B,V-269,2021-02-24,2661,70.23,2,1,Wiring,Jammu & Kashmir,Mountainous,Bihar Regiment,6,Foggy
Type A,V-382,2019-10-04,8871,80.49,43,3,Gun System,Uttarakhand,Mountainous,Kumaon Regiment,-7,Extreme Cold
Type D,V-338,2023-11-16,2436,92.84,28,7,Radar,Himachal Pradesh,Hilly,Sikh Light Infantry,18,Cool Climate
Type A,V-901,2021-05-13,5996,95.86,29,5,Sensors,Nagaland,Jungle,Gorkha Rifles,24,Foggy
Type E,V-905,2022-06-01,9413,61.11,26,0,Radar,Uttarakhand,Mountainous,Jat Regiment,9,Extreme Cold
Type E,V-788,2021-06-12,975,78.46,30,1,None,Uttarakhand,Mountainous,Gorkha Rifles,-8,Snowfall
Type A,V-266,2015-07-11,1545,81.36,7,3,None,Rajasthan,Desert,Jat Regiment,31,Clear Skies
Type B,V-371,2023-11-23,5710,86.49,43,3,Gun System,Assam,Plains,Gorkha Rifles,26,Clear Skies
Type B,V-652,2015-04-25,1173,98.34,36,4,None,Sikkim,Mountainous,Naga Regiment,5,Snowfall
Type A,V-429,2019-03-10,192,94.54,0,2,None,Manipur,Jungle,Punjab Regiment,27,Heavy Rain
Type C,V-409,2020-04-14,2316,75.29,3,8,Engine,Uttarakhand,Mountainous,Rajput Regiment,9,Extreme Cold
Type C,V-419,2023-11-10,3076,90.72,11,7,Brakes,Jammu & Kashmir,Mountainous,Punjab Regiment,-6,Extreme Cold
Type D,V-362,2019-03-25,6272,92.3,47,4,Armor Plating,Uttarakhand,Mountainous,Dogra Regiment,-5,Snowfall
